Name,v_half,current_density,slope_factor,tau_fast,Recording File
CPZday1control_1,-82.51227,10.38279156,9.92873,196.8,2021-08-05-001
CPZday1control_2,-81.21502,8.188235294,10.1478,179.3,2021-08-05-001
CPZday1control_3,-86.08118,13.74346145,11.38823,188,2021-08-06-001
CPZday1control_4,-83.17397,13.72900088,10.67793,198.7,2021-08-10-001
CPZday1control_5,-94.02303,23.21774882,11.32214,81.82,210804
CPZday1control_6,-94.03049,19.35234109,11.23643,70.97,210805
CPZday1control_7,-94.14544,10.95350541,10.71608,77.9,210805
CPZday1control_8,-94.80476,14.77098685,10.29857,75.02,210806
CPZday1_1,-99.72341,9.252634749,15.95805,203.5,2021-05-11-001
CPZday1_2,-89.76124,10.34566897,11.79841,146.7,2021-05-11-001
CPZday1_3,-88.89778,8.182562119,9.69587,209.1,2021-05-12-001
CPZday1_4,-88.74454,7.738736864,9.7844,88.6,210511
CPZday1_5,-91.17297,9.065572149,10.00069,306.5,210512
CPZday1_6,-86.24614,10.25933986,9.07797,154.6,210512
CPZday7control_1,-86.6228,10.04348843,11.31066,199.2,2021-08-11-001
CPZday7control_2,-86.07091,9.000731172,11.79294,174.7,2021-08-13-001
CPZday7control_3,-85.40257,10.33130035,12.49259,180.5,210809
CPZday7control_4,-86.74563,10.63233214,14.44563,72.84,210809
CPZday7control_5,-96.02885,13.4947351,15.17182,67.39,210810
CPZday7control_6,-85.44698,12.36752964,13.9869,70.57,210811
CPZday7control_7,-95.73739,11.70766796,11.20307,65.82,210811
CPZday7control_8,-96.55669,14.43442007,13.2456,72.61,210811
CPZday7control_9,-91.65001,11.19997079,11.45441,103.3,210813
CPZday7_1,-91.66585,16.91761585,11.15596,95.86,210518
CPZday7_2,-91.04171,21.14445804,11.92141,83.95,210518
CPZday7_3,-90.23256,10.4068701,7.46334,73.88,210518
CPZday7_4,-91.88647,10.74064266,9.18332,116.3,210519
CPZday7_5,-93.73784,10.662198,9.37198,126.7,210519
CPZday7_6,-81.78106,17.66024152,13.05441,115.2,210520
CPZday25control_1,-88.19577,9.057767298,10.47531,201.4,2021-07-21-001
CPZday25control_2,-87.07791,11.47441375,10.54063,163,2021-07-27-001
CPZday25control_3,-85.15569,13.58335725,11.23168,148.1,2021-07-27-001
CPZday25control_4,-93.56229,9.87285486,10.58117,127.7,210721
CPZday25control_5,-88.54941,10.36134454,11.75245,72.37,210723
CPZday25control_6,-83.82705,13.55593866,11.86599,75.57,210723
CPZday25_1,-84.53456,8.92636698,9.58842,160.7,2021-06-07-001
CPZday25_2,-92.17901,9.809104924,12.4689,147.7,2021-06-07-001
CPZday25_3,-87.23899,10.56673114,10.38502,139,2021-06-07-001
CPZday25_4,-89.15632,9.998894722,10.9057,220.9,2021-06-08-001
CPZday25_5,-89.25726,6.460541278,8.69388,162.5,2021-06-08-001
CPZday25_6,-89.45661,7.386619718,10.87494,93.59,210607
CPZday25_7,-94.06923,15.38218572,11.02461,86.92,210607
CPZday25_8,-89.74461,7.622132254,11.96459,100.6,210608
