Name,v_half,current_density,slope_factor,tau_fast
BL6_IFNalpha_1,-97.44599,9.34,8.52091,134.3
BL6_IFNalpha_2,-96.50441,9.6,9.64091,99.14
BL6_IFNalpha_3,-92.76,11.66,8.57463,120
BL6_IFNalpha_4,-92.87851,10.6,9.15875,152.2
BL6_IFNalpha_5,-89.97,5.97,7.51077,119.3
BL6_IFNalpha_6,-96.48307,10.28,7.20056,129.4
BL6_IL1beta_1,-88.95793,12.3,7.57043,110.9
BL6_IL1beta_2,-87.59165,10.4,8.31223,106.5
BL6_IL1beta_3,-88.35279,11.62,11.8135,142
BL6_IL1beta_4,-90.37751,13.83,7.64082,149.3
BL6_IL1beta_5,-90.28847,11.02,8.69393,118.4
BL6_IL1beta_6,-87.20478,10.83,9.39856,135.4
