Name,v_half,current_density,slope_factor,tau_fast
bl6_1,-89.97861,11.03,7.51077,135.5
bl6_2,-90.4812,11.1,9.85306,119.2
bl6_3,-91.27038,12.08,8.7671,124.4
bl6_4,-90.71715,12.5,9.87524,110.2
bl6_5,-91.02443,10.01,10.45131,142.6
bl6_6,-90.4119,10.6,10.48134,124.9
bl6_7,-89.69002,10.9,5.1434,130.7
c3hcontrol_1,-89.72531,11.61,9.97846,129.2
c3hcontrol_2,-88.8378,12.2,6.0162,109.9
c3hcontrol_3,-87.9482,12.6,7.10432,104.2
c3hcontrol_4,-88.00677,13.3,6.62933,104.7
c3hcontrol_5,-88.4216,11.46,9.38819,105.8
c3hcontrol_6,-84.58368,11.62,10.00993,100.3
c3hcontrol_7,-88.92308,14.31,10.12018,105
c3hday1_1,-94.2392,9.48,9.23022,134.5
c3hday1_2,-93.44874,8.53,10.30464,142.4
c3hday1_3,-96.13523,6.4,8.2252,144.7
c3hday1_4,-95.52148,7.6,9.75108,145.3
c3hday1_5,-94.68928,8.45,10.03764,146.8
c3hday1_6,-94.65742,8.16,9.30923,135
c3hday1_7,-93.91576,7.34,9.09077,143.7
c3hday7_1,-96.42,9.08,8.34098,145.8
c3hday7_2,-85.11,11.44,9.94045,143
c3hday7_3,-92.74,8.14,8.25258,139
c3hday7_4,-92.83,9.14,10.20188,121.5
c3hday7_5,-90.62,8.05,8.1864,200
c3hday7_6,-93.82,10.35,6.94579,139.6
c3hday7_7,-94.41,8.13,7.24437,135.4
c3hday25_1,-83.52148,15.38,10.16352,95.44
c3hday25_2,-88.65334,13.74,10.28416,125.3
c3hday25_3,-89.13837,12.65,10.95084,103
c3hday25_4,-88.05812,10.7,11.3508,108.6
c3hday25_5,-90.20371,11.95,7.21928,116.1
c3hday25_6,-87.58189,13.6,7.11576,112
c3hday25_7,-88.24326,10.63,9.26982,104.2
